Date,Day_of_Week,Arrival_Time,Service_Type,Branch,Queue_Size,Total_OPD_Time_Mins
7/4/2026,Tuesday,10:00 - 11:00,Orthopedics,Branch 2,6,110
13/4/2026,Monday,16:00 - 17:00,Cardiology,Branch 2,14,212
12/3/2026,Thursday,08:00 - 09:00,Minor Procedures,Branch 2,14,226
23/7/2025,Wednesday,13:00 - 14:00,Pediatrics,Branch 3,10,208
28/7/2025,Monday,15:00 - 16:00,Orthopedics,Branch 2,3,94
18/9/2025,Thursday,14:00 - 15:00,Cardiology,Branch 1,12,211
18/5/2025,Sunday,13:00 - 14:00,Pediatrics,Branch 2,4,96
7/8/2025,Thursday,09:00 - 10:00,Cardiology,Branch 1,11,213
19/5/2025,Monday,15:00 - 16:00,Orthopedics,Branch 3,0,118
5/11/2025,Wednesday,16:00 - 17:00,Dermatology,Branch 3,5,181
27/8/2025,Wednesday,16:00 - 17:00,General Consultation,Branch 2,6,118
25/7/2025,Friday,11:00 - 12:00,Cardiology,Branch 2,2,78
12/2/2026,Thursday,13:00 - 14:00,Cardiology,Branch 3,0,122
29/3/2026,Sunday,09:00 - 10:00,Obstetrics & Gynecology,Branch 3,12,249
10/7/2025,Thursday,10:00 - 11:00,Cardiology,Branch 2,2,86
2/10/2025,Thursday,16:00 - 17:00,Obstetrics & Gynecology,Branch 2,9,161
8/2/2026,Sunday,16:00 - 17:00,Lab Services,Branch 3,6,174
27/7/2025,Sunday,09:00 - 10:00,Cardiology,Branch 2,2,68
16/2/2026,Monday,09:00 - 10:00,Minor Procedures,Branch 1,9,215
13/2/2026,Friday,10:00 - 11:00,General Consultation,Branch 3,2,153
18/3/2026,Wednesday,13:00 - 14:00,Pediatrics,Branch 2,5,117
1/3/2026,Sunday,11:00 - 12:00,Lab Services,Branch 2,7,112
19/7/2025,Saturday,16:00 - 17:00,Cardiology,Branch 2,5,123
9/8/2025,Saturday,14:00 - 15:00,Lab Services,Branch 1,8,141
1/6/2025,Sunday,09:00 - 10:00,Obstetrics & Gynecology,Branch 1,8,175
1/10/2025,Wednesday,15:00 - 16:00,Orthopedics,Branch 2,4,112
25/10/2025,Saturday,08:00 - 09:00,Pediatrics,Branch 1,4,143
2/10/2025,Thursday,15:00 - 16:00,Pediatrics,Branch 2,7,139
14/5/2025,Wednesday,08:00 - 09:00,Cardiology,Branch 3,1,140
17/10/2025,Friday,10:00 - 11:00,Lab Services,Branch 1,14,223
14/1/2026,Wednesday,10:00 - 11:00,Orthopedics,Branch 1,8,182
8/9/2025,Monday,13:00 - 14:00,Pediatrics,Branch 3,2,131
4/2/2026,Wednesday,09:00 - 10:00,Obstetrics & Gynecology,Branch 2,11,165
27/2/2026,Friday,08:00 - 09:00,Dermatology,Branch 1,2,111
25/6/2025,Wednesday,08:00 - 09:00,Obstetrics & Gynecology,Branch 3,11,224
7/4/2026,Tuesday,14:00 - 15:00,Lab Services,Branch 2,8,134
10/2/2026,Tuesday,13:00 - 14:00,Orthopedics,Branch 2,5,122
31/3/2026,Tuesday,09:00 - 10:00,Orthopedics,Branch 2,6,126
23/5/2025,Friday,14:00 - 15:00,Cardiology,Branch 3,14,265
30/4/2025,Wednesday,08:00 - 09:00,Orthopedics,Branch 2,2,81
22/3/2026,Sunday,11:00 - 12:00,Orthopedics,Branch 2,5,125
19/3/2026,Thursday,11:00 - 12:00,Obstetrics & Gynecology,Branch 3,10,224
29/9/2025,Monday,10:00 - 11:00,Lab Services,Branch 3,6,172
10/8/2025,Sunday,14:00 - 15:00,General Consultation,Branch 2,15,204
26/4/2025,Saturday,10:00 - 11:00,Cardiology,Branch 3,3,136
12/5/2025,Monday,14:00 - 15:00,Pediatrics,Branch 3,3,158
22/4/2026,Wednesday,11:00 - 12:00,Cardiology,Branch 2,12,171
25/2/2026,Wednesday,16:00 - 17:00,Lab Services,Branch 1,15,229
26/3/2026,Thursday,16:00 - 17:00,Pediatrics,Branch 2,0,74
22/1/2026,Thursday,11:00 - 12:00,Lab Services,Branch 1,10,173
14/12/2025,Sunday,11:00 - 12:00,Dermatology,Branch 3,0,123
31/10/2025,Friday,15:00 - 16:00,Minor Procedures,Branch 1,5,173
31/3/2026,Tuesday,11:00 - 12:00,Obstetrics & Gynecology,Branch 3,6,191
19/4/2026,Sunday,09:00 - 10:00,Dermatology,Branch 2,7,137
24/7/2025,Thursday,14:00 - 15:00,Dermatology,Branch 2,15,219
24/3/2026,Tuesday,09:00 - 10:00,Dermatology,Branch 2,4,86
23/8/2025,Saturday,09:00 - 10:00,Minor Procedures,Branch 3,15,309
4/12/2025,Thursday,16:00 - 17:00,Minor Procedures,Branch 1,8,204
31/8/2025,Sunday,09:00 - 10:00,Lab Services,Branch 3,14,251
21/1/2026,Wednesday,15:00 - 16:00,Dermatology,Branch 3,15,285
26/1/2026,Monday,09:00 - 10:00,General Consultation,Branch 3,11,220
1/3/2026,Sunday,11:00 - 12:00,Lab Services,Branch 3,14,255
10/6/2025,Tuesday,11:00 - 12:00,Obstetrics & Gynecology,Branch 2,13,198
7/1/2026,Wednesday,08:00 - 09:00,Lab Services,Branch 1,11,183
23/1/2026,Friday,16:00 - 17:00,Obstetrics & Gynecology,Branch 2,10,162
22/9/2025,Monday,14:00 - 15:00,Obstetrics & Gynecology,Branch 3,14,275
2/2/2026,Monday,08:00 - 09:00,Lab Services,Branch 2,14,180
18/5/2025,Sunday,15:00 - 16:00,Cardiology,Branch 1,6,152
15/1/2026,Thursday,13:00 - 14:00,Orthopedics,Branch 1,6,162
14/11/2025,Friday,10:00 - 11:00,Pediatrics,Branch 2,2,78
19/2/2026,Thursday,09:00 - 10:00,Lab Services,Branch 3,8,197
25/10/2025,Saturday,08:00 - 09:00,General Consultation,Branch 2,11,162
14/2/2026,Saturday,11:00 - 12:00,Orthopedics,Branch 2,13,199
21/12/2025,Sunday,09:00 - 10:00,General Consultation,Branch 3,1,118
25/10/2025,Saturday,15:00 - 16:00,General Consultation,Branch 2,4,95
22/8/2025,Friday,16:00 - 17:00,Dermatology,Branch 3,14,261
29/8/2025,Friday,13:00 - 14:00,Minor Procedures,Branch 1,14,269
14/7/2025,Monday,15:00 - 16:00,Obstetrics & Gynecology,Branch 2,12,166
19/12/2025,Friday,13:00 - 14:00,Obstetrics & Gynecology,Branch 2,7,142
15/8/2025,Friday,10:00 - 11:00,Orthopedics,Branch 1,12,222
2/7/2025,Wednesday,08:00 - 09:00,Pediatrics,Branch 2,6,105
9/2/2026,Monday,09:00 - 10:00,Orthopedics,Branch 2,2,67
4/4/2026,Saturday,10:00 - 11:00,Cardiology,Branch 2,1,71
15/12/2025,Monday,16:00 - 17:00,Cardiology,Branch 2,13,178
29/8/2025,Friday,09:00 - 10:00,Minor Procedures,Branch 1,14,259
12/11/2025,Wednesday,15:00 - 16:00,General Consultation,Branch 2,7,133
3/8/2025,Sunday,09:00 - 10:00,Cardiology,Branch 3,12,243
16/7/2025,Wednesday,13:00 - 14:00,General Consultation,Branch 1,1,95
5/1/2026,Monday,09:00 - 10:00,Obstetrics & Gynecology,Branch 3,3,138
10/8/2025,Sunday,15:00 - 16:00,Lab Services,Branch 1,13,209
19/4/2026,Sunday,14:00 - 15:00,Pediatrics,Branch 1,13,217
18/9/2025,Thursday,10:00 - 11:00,General Consultation,Branch 2,2,80
4/4/2026,Saturday,15:00 - 16:00,Orthopedics,Branch 2,10,163
28/8/2025,Thursday,13:00 - 14:00,Obstetrics & Gynecology,Branch 1,2,100
25/2/2026,Wednesday,16:00 - 17:00,Orthopedics,Branch 3,1,119
6/11/2025,Thursday,08:00 - 09:00,Lab Services,Branch 2,10,144
23/11/2025,Sunday,15:00 - 16:00,Orthopedics,Branch 3,12,242
22/12/2025,Monday,15:00 - 16:00,Minor Procedures,Branch 2,9,164
4/8/2025,Monday,15:00 - 16:00,Cardiology,Branch 1,12,200
26/9/2025,Friday,08:00 - 09:00,Obstetrics & Gynecology,Branch 3,4,148
1/1/2026,Thursday,14:00 - 15:00,Minor Procedures,Branch 3,3,181
27/7/2025,Sunday,15:00 - 16:00,Orthopedics,Branch 2,13,183
15/10/2025,Wednesday,08:00 - 09:00,Minor Procedures,Branch 3,5,187
12/1/2026,Monday,09:00 - 10:00,Minor Procedures,Branch 2,11,194
30/5/2025,Friday,09:00 - 10:00,General Consultation,Branch 3,7,192
14/12/2025,Sunday,08:00 - 09:00,Pediatrics,Branch 1,6,154
10/4/2026,Friday,16:00 - 17:00,Orthopedics,Branch 3,5,161
25/1/2026,Sunday,11:00 - 12:00,Lab Services,Branch 1,15,228
11/4/2026,Saturday,16:00 - 17:00,Pediatrics,Branch 1,15,227
30/7/2025,Wednesday,16:00 - 17:00,Cardiology,Branch 1,12,214
25/4/2025,Friday,16:00 - 17:00,Dermatology,Branch 2,6,112
30/1/2026,Friday,13:00 - 14:00,Dermatology,Branch 2,13,177
12/5/2025,Monday,11:00 - 12:00,Orthopedics,Branch 3,15,284
3/12/2025,Wednesday,11:00 - 12:00,Cardiology,Branch 1,11,193
4/12/2025,Thursday,08:00 - 09:00,Cardiology,Branch 2,1,73
20/12/2025,Saturday,16:00 - 17:00,Orthopedics,Branch 3,1,142
17/5/2025,Saturday,14:00 - 15:00,Minor Procedures,Branch 1,1,120
23/4/2026,Thursday,09:00 - 10:00,Cardiology,Branch 2,5,117
22/10/2025,Wednesday,13:00 - 14:00,Orthopedics,Branch 3,14,271
25/12/2025,Thursday,09:00 - 10:00,Dermatology,Branch 2,6,111
11/9/2025,Thursday,15:00 - 16:00,Pediatrics,Branch 2,10,169
25/5/2025,Sunday,13:00 - 14:00,Cardiology,Branch 2,1,63
8/4/2026,Wednesday,15:00 - 16:00,Obstetrics & Gynecology,Branch 3,13,258
25/5/2025,Sunday,10:00 - 11:00,Cardiology,Branch 1,12,218
8/3/2026,Sunday,08:00 - 09:00,Orthopedics,Branch 2,11,159
6/5/2025,Tuesday,09:00 - 10:00,Dermatology,Branch 2,12,182
1/11/2025,Saturday,15:00 - 16:00,Orthopedics,Branch 3,15,265
5/9/2025,Friday,10:00 - 11:00,Minor Procedures,Branch 2,13,212
26/7/2025,Saturday,08:00 - 09:00,Obstetrics & Gynecology,Branch 1,1,86
26/8/2025,Tuesday,11:00 - 12:00,Obstetrics & Gynecology,Branch 2,9,160
10/1/2026,Saturday,15:00 - 16:00,Orthopedics,Branch 3,9,212
4/6/2025,Wednesday,11:00 - 12:00,Lab Services,Branch 2,12,167
10/4/2026,Friday,11:00 - 12:00,Cardiology,Branch 1,5,136
26/1/2026,Monday,11:00 - 12:00,General Consultation,Branch 2,9,145
9/11/2025,Sunday,15:00 - 16:00,Pediatrics,Branch 3,14,250
11/8/2025,Monday,13:00 - 14:00,Orthopedics,Branch 2,7,144
14/10/2025,Tuesday,16:00 - 17:00,Obstetrics & Gynecology,Branch 3,11,243
23/8/2025,Saturday,09:00 - 10:00,Lab Services,Branch 2,10,144
24/9/2025,Wednesday,16:00 - 17:00,Obstetrics & Gynecology,Branch 2,15,215
6/2/2026,Friday,14:00 - 15:00,Obstetrics & Gynecology,Branch 3,10,209
16/1/2026,Friday,16:00 - 17:00,Orthopedics,Branch 1,1,99
1/6/2025,Sunday,13:00 - 14:00,Pediatrics,Branch 1,2,104
5/3/2026,Thursday,16:00 - 17:00,Orthopedics,Branch 3,1,121
5/3/2026,Thursday,09:00 - 10:00,Lab Services,Branch 2,1,48
22/9/2025,Monday,15:00 - 16:00,General Consultation,Branch 3,11,230
6/11/2025,Thursday,10:00 - 11:00,Minor Procedures,Branch 3,15,282
22/7/2025,Tuesday,09:00 - 10:00,Pediatrics,Branch 3,5,162
12/11/2025,Wednesday,15:00 - 16:00,Cardiology,Branch 1,10,205
17/7/2025,Thursday,08:00 - 09:00,General Consultation,Branch 3,13,263
20/2/2026,Friday,09:00 - 10:00,Dermatology,Branch 3,3,161
19/7/2025,Saturday,09:00 - 10:00,Pediatrics,Branch 3,9,205
24/5/2025,Saturday,13:00 - 14:00,Orthopedics,Branch 3,8,202
30/5/2025,Friday,09:00 - 10:00,General Consultation,Branch 1,11,185
10/1/2026,Saturday,16:00 - 17:00,Cardiology,Branch 1,7,160
12/5/2025,Monday,10:00 - 11:00,Orthopedics,Branch 1,2,96
12/10/2025,Sunday,09:00 - 10:00,Lab Services,Branch 3,3,135
12/6/2025,Thursday,10:00 - 11:00,Lab Services,Branch 2,8,112
23/9/2025,Tuesday,15:00 - 16:00,Orthopedics,Branch 3,10,205
10/4/2026,Friday,10:00 - 11:00,Minor Procedures,Branch 1,1,137
2/9/2025,Tuesday,16:00 - 17:00,Orthopedics,Branch 1,4,127
4/4/2026,Saturday,08:00 - 09:00,Lab Services,Branch 2,8,116
15/12/2025,Monday,15:00 - 16:00,Orthopedics,Branch 3,6,184
8/11/2025,Saturday,08:00 - 09:00,Dermatology,Branch 1,13,229
8/10/2025,Wednesday,16:00 - 17:00,Dermatology,Branch 1,14,232
15/6/2025,Sunday,08:00 - 09:00,Cardiology,Branch 1,10,195
13/7/2025,Sunday,14:00 - 15:00,Cardiology,Branch 3,5,166
9/9/2025,Tuesday,14:00 - 15:00,Pediatrics,Branch 1,8,184
7/9/2025,Sunday,08:00 - 09:00,Lab Services,Branch 1,7,146
31/5/2025,Saturday,14:00 - 15:00,General Consultation,Branch 3,1,133
20/3/2026,Friday,08:00 - 09:00,Orthopedics,Branch 3,3,140
26/10/2025,Sunday,08:00 - 09:00,Cardiology,Branch 2,0,52
11/6/2025,Wednesday,13:00 - 14:00,Cardiology,Branch 1,8,156
30/1/2026,Friday,11:00 - 12:00,Lab Services,Branch 3,3,149
15/8/2025,Friday,11:00 - 12:00,Obstetrics & Gynecology,Branch 2,7,126
19/12/2025,Friday,13:00 - 14:00,Lab Services,Branch 3,8,183
12/11/2025,Wednesday,14:00 - 15:00,Dermatology,Branch 3,15,278
29/10/2025,Wednesday,16:00 - 17:00,Orthopedics,Branch 1,12,198
13/9/2025,Saturday,10:00 - 11:00,Lab Services,Branch 2,4,94
15/4/2026,Wednesday,10:00 - 11:00,General Consultation,Branch 2,0,54
15/3/2026,Sunday,16:00 - 17:00,General Consultation,Branch 1,11,196
3/11/2025,Monday,09:00 - 10:00,Dermatology,Branch 3,7,204
21/10/2025,Tuesday,08:00 - 09:00,Orthopedics,Branch 3,8,202
12/9/2025,Friday,09:00 - 10:00,General Consultation,Branch 2,13,177
2/11/2025,Sunday,10:00 - 11:00,Pediatrics,Branch 3,8,185
22/8/2025,Friday,15:00 - 16:00,Cardiology,Branch 2,2,84
28/12/2025,Sunday,14:00 - 15:00,Minor Procedures,Branch 2,13,214
16/8/2025,Saturday,09:00 - 10:00,Cardiology,Branch 1,5,150
25/5/2025,Sunday,13:00 - 14:00,Minor Procedures,Branch 2,3,104
1/12/2025,Monday,09:00 - 10:00,Pediatrics,Branch 2,12,186
11/11/2025,Tuesday,09:00 - 10:00,Obstetrics & Gynecology,Branch 3,6,171
23/1/2026,Friday,16:00 - 17:00,Orthopedics,Branch 3,1,141
23/2/2026,Monday,08:00 - 09:00,Lab Services,Branch 1,4,126
1/6/2025,Sunday,09:00 - 10:00,Pediatrics,Branch 1,0,89
8/6/2025,Sunday,11:00 - 12:00,Cardiology,Branch 2,0,47
24/5/2025,Saturday,08:00 - 09:00,Obstetrics & Gynecology,Branch 2,12,177
14/7/2025,Monday,10:00 - 11:00,Orthopedics,Branch 1,11,193
25/11/2025,Tuesday,15:00 - 16:00,Obstetrics & Gynecology,Branch 3,11,242
13/3/2026,Friday,14:00 - 15:00,Obstetrics & Gynecology,Branch 2,12,170
20/2/2026,Friday,11:00 - 12:00,Cardiology,Branch 3,5,176
26/5/2025,Monday,08:00 - 09:00,General Consultation,Branch 2,6,117
23/2/2026,Monday,11:00 - 12:00,Lab Services,Branch 3,11,201
26/1/2026,Monday,13:00 - 14:00,General Consultation,Branch 1,1,108
20/6/2025,Friday,11:00 - 12:00,Lab Services,Branch 1,3,107
19/11/2025,Wednesday,14:00 - 15:00,Minor Procedures,Branch 2,14,224
22/2/2026,Sunday,08:00 - 09:00,Cardiology,Branch 3,8,201
19/4/2026,Sunday,16:00 - 17:00,General Consultation,Branch 2,14,213
9/8/2025,Saturday,13:00 - 14:00,General Consultation,Branch 1,4,123
21/3/2026,Saturday,08:00 - 09:00,Minor Procedures,Branch 3,14,275
15/11/2025,Saturday,11:00 - 12:00,Minor Procedures,Branch 3,15,288
7/6/2025,Saturday,11:00 - 12:00,Lab Services,Branch 1,12,203
17/2/2026,Tuesday,15:00 - 16:00,Lab Services,Branch 3,13,224
17/2/2026,Tuesday,16:00 - 17:00,Obstetrics & Gynecology,Branch 1,3,106
28/10/2025,Tuesday,11:00 - 12:00,Lab Services,Branch 2,11,156
8/1/2026,Thursday,13:00 - 14:00,Pediatrics,Branch 1,9,184
20/11/2025,Thursday,08:00 - 09:00,Minor Procedures,Branch 1,7,196
23/10/2025,Thursday,15:00 - 16:00,Orthopedics,Branch 1,12,204
18/1/2026,Sunday,09:00 - 10:00,Pediatrics,Branch 3,12,250
26/4/2025,Saturday,09:00 - 10:00,General Consultation,Branch 2,8,146
11/9/2025,Thursday,15:00 - 16:00,Lab Services,Branch 3,11,220
2/5/2025,Friday,15:00 - 16:00,General Consultation,Branch 1,7,163
30/3/2026,Monday,16:00 - 17:00,Obstetrics & Gynecology,Branch 3,14,265
3/2/2026,Tuesday,08:00 - 09:00,Cardiology,Branch 2,2,88
6/11/2025,Thursday,08:00 - 09:00,Pediatrics,Branch 1,4,121
19/1/2026,Monday,08:00 - 09:00,Orthopedics,Branch 2,8,147
17/12/2025,Wednesday,09:00 - 10:00,Orthopedics,Branch 3,12,225
10/9/2025,Wednesday,09:00 - 10:00,Lab Services,Branch 3,1,115
22/4/2026,Wednesday,15:00 - 16:00,Cardiology,Branch 3,7,192
4/1/2026,Sunday,13:00 - 14:00,General Consultation,Branch 1,13,227
29/5/2025,Thursday,14:00 - 15:00,Orthopedics,Branch 3,0,127
15/3/2026,Sunday,09:00 - 10:00,Cardiology,Branch 3,6,171
13/4/2026,Monday,08:00 - 09:00,Cardiology,Branch 3,10,231
24/8/2025,Sunday,08:00 - 09:00,General Consultation,Branch 1,6,153
14/1/2026,Wednesday,16:00 - 17:00,General Consultation,Branch 1,13,229
24/10/2025,Friday,14:00 - 15:00,General Consultation,Branch 3,9,215
24/10/2025,Friday,09:00 - 10:00,Orthopedics,Branch 2,10,158
5/7/2025,Saturday,11:00 - 12:00,Pediatrics,Branch 2,2,82
23/7/2025,Wednesday,15:00 - 16:00,Obstetrics & Gynecology,Branch 1,12,212
30/10/2025,Thursday,15:00 - 16:00,Orthopedics,Branch 2,13,195
16/12/2025,Tuesday,14:00 - 15:00,Obstetrics & Gynecology,Branch 1,8,160
9/1/2026,Friday,09:00 - 10:00,General Consultation,Branch 2,14,201
5/11/2025,Wednesday,13:00 - 14:00,Minor Procedures,Branch 3,14,294
12/3/2026,Thursday,15:00 - 16:00,General Consultation,Branch 2,0,74
19/4/2026,Sunday,11:00 - 12:00,Orthopedics,Branch 3,0,134
19/4/2026,Sunday,10:00 - 11:00,Orthopedics,Branch 1,10,191
18/3/2026,Wednesday,08:00 - 09:00,Dermatology,Branch 1,11,202
26/8/2025,Tuesday,14:00 - 15:00,Obstetrics & Gynecology,Branch 1,10,203
27/2/2026,Friday,15:00 - 16:00,Obstetrics & Gynecology,Branch 3,6,176
24/1/2026,Saturday,16:00 - 17:00,Dermatology,Branch 3,12,229
26/8/2025,Tuesday,15:00 - 16:00,Cardiology,Branch 2,11,177
17/9/2025,Wednesday,14:00 - 15:00,Obstetrics & Gynecology,Branch 3,14,262
9/11/2025,Sunday,11:00 - 12:00,Dermatology,Branch 1,11,187
14/9/2025,Sunday,08:00 - 09:00,Lab Services,Branch 3,8,192
3/1/2026,Saturday,11:00 - 12:00,Obstetrics & Gynecology,Branch 3,5,166
13/6/2025,Friday,16:00 - 17:00,Pediatrics,Branch 1,0,103
20/8/2025,Wednesday,10:00 - 11:00,Minor Procedures,Branch 1,0,124
4/4/2026,Saturday,16:00 - 17:00,General Consultation,Branch 3,10,217
18/5/2025,Sunday,15:00 - 16:00,Minor Procedures,Branch 2,4,135
29/11/2025,Saturday,15:00 - 16:00,Cardiology,Branch 1,3,133
16/12/2025,Tuesday,16:00 - 17:00,Obstetrics & Gynecology,Branch 2,13,182
26/2/2026,Thursday,08:00 - 09:00,Minor Procedures,Branch 3,5,193
9/5/2025,Friday,08:00 - 09:00,Orthopedics,Branch 1,2,110
17/10/2025,Friday,13:00 - 14:00,General Consultation,Branch 3,6,176
23/12/2025,Tuesday,16:00 - 17:00,Dermatology,Branch 1,7,161
29/3/2026,Sunday,14:00 - 15:00,Dermatology,Branch 1,3,132
19/2/2026,Thursday,10:00 - 11:00,Cardiology,Branch 1,2,103
6/10/2025,Monday,16:00 - 17:00,Dermatology,Branch 3,1,136
13/12/2025,Saturday,10:00 - 11:00,Orthopedics,Branch 2,6,110
22/10/2025,Wednesday,13:00 - 14:00,Cardiology,Branch 1,11,211
23/12/2025,Tuesday,14:00 - 15:00,Obstetrics & Gynecology,Branch 2,3,85
2/2/2026,Monday,14:00 - 15:00,Obstetrics & Gynecology,Branch 3,6,183
20/5/2025,Tuesday,09:00 - 10:00,Dermatology,Branch 3,0,130
13/7/2025,Sunday,16:00 - 17:00,General Consultation,Branch 3,5,183
10/6/2025,Tuesday,15:00 - 16:00,Cardiology,Branch 3,11,224
21/9/2025,Sunday,09:00 - 10:00,Minor Procedures,Branch 1,5,169
16/11/2025,Sunday,14:00 - 15:00,Orthopedics,Branch 2,7,124
14/6/2025,Saturday,15:00 - 16:00,Obstetrics & Gynecology,Branch 2,3,79
6/6/2025,Friday,16:00 - 17:00,Pediatrics,Branch 1,11,204
5/4/2026,Sunday,16:00 - 17:00,Obstetrics & Gynecology,Branch 2,12,183
15/5/2025,Thursday,08:00 - 09:00,Cardiology,Branch 1,9,191
19/7/2025,Saturday,15:00 - 16:00,General Consultation,Branch 1,9,168
7/7/2025,Monday,15:00 - 16:00,Dermatology,Branch 3,11,227
5/9/2025,Friday,13:00 - 14:00,Minor Procedures,Branch 1,0,128
5/8/2025,Tuesday,16:00 - 17:00,Orthopedics,Branch 2,12,189
10/12/2025,Wednesday,16:00 - 17:00,Cardiology,Branch 3,6,193
3/5/2025,Saturday,09:00 - 10:00,Orthopedics,Branch 3,0,135
27/8/2025,Wednesday,14:00 - 15:00,Pediatrics,Branch 3,2,141
9/9/2025,Tuesday,15:00 - 16:00,Cardiology,Branch 2,6,123
18/7/2025,Friday,14:00 - 15:00,Cardiology,Branch 1,7,155
6/4/2026,Monday,14:00 - 15:00,Pediatrics,Branch 2,13,203
15/6/2025,Sunday,09:00 - 10:00,Lab Services,Branch 2,15,190
17/1/2026,Saturday,08:00 - 09:00,Orthopedics,Branch 3,6,194
17/10/2025,Friday,14:00 - 15:00,Minor Procedures,Branch 3,8,231
19/3/2026,Thursday,15:00 - 16:00,Orthopedics,Branch 3,0,112
6/7/2025,Sunday,16:00 - 17:00,Cardiology,Branch 2,12,181
